entity,entity_type,source,method,confidence,evidence
Chính phủ,CoQuan,146468,Rule-based & Metadata Audit,0.95,CHÍNH PHỦ ------- CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do
Nguyễn Xuân Phúc,NguoiKy,146468,Rule-based & Metadata Audit,0.95,. CHÍNH PHỦ THỦ TƯỚNG (đã ký) Nguyễn Xuân Phúc
"tổ chức, trừ trường hợp quy định tại khoản 3 và khoản 4 Điều 15, khoản 2 và khoản 4 Điều 30, khoản 3",DoiTuongApDung,146468,Rule-based & Metadata Audit,0.95,"áp dụng đối với tổ chức, trừ trường hợp quy định tại khoản 3 và khoản 4 Điều 15, khoản 2 và khoản 4 Điều 30, khoản 3 và khoản 5 Điều 39 Nghị định này"
Chứng khoán,LinhVuc,146468,Rule-based & Metadata Audit,0.95,ạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán Căn cứ Luật Tổ chức C
Ngân hàng Nhà nước Việt Nam,CoQuan,168220,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM --------- CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT
Đào Minh Tú,NguoiKy,168220,Rule-based & Metadata Audit,0.95,ỐNG ĐỐC PHÓ THỐNG ĐỐC (Đã ký) Đào Minh Tú
1,DoiTuongApDung,168220,Rule-based & Metadata Audit,0.95,Đối tượng áp dụng 1
"Thanh tra, giám sát ngân hàng",LinhVuc,168220,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM --------- CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT
Chính phủ,CoQuan,133858,Rule-based & Metadata Audit,0.95,CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh p
Nguyễn Xuân Phúc,NguoiKy,133858,Rule-based & Metadata Audit,0.95,Ủ THỦ TƯỚNG CHÍNH PHỦ (Đã ký) Nguyễn Xuân Phúc
1,DoiTuongApDung,133858,Rule-based & Metadata Audit,0.95,Đối tượng áp dụng 1
Tài chính - Ngân hàng,LinhVuc,133858,Rule-based & Metadata Audit,0.95,ăn bản hướng dẫn do Ngân hàng Nhà nước ban hành. 4. Công tác kiểm toán nội bộ của Ngân hà
Ngân hàng Nhà nước Việt Nam,CoQuan,169221,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lậ
Phạm Thanh Hà,NguoiKy,169221,Rule-based & Metadata Audit,0.95,ỐNG ĐỐC PHÓ THỐNG ĐỐC (Đã ký) Phạm Thanh Hà
ngày thực hiện giao dịch,DoiTuongApDung,169221,Rule-based & Metadata Audit,0.95,áp dụng đối với ngày thực hiện giao dịch
Quản lý ngoại hối,LinhVuc,169221,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lậ
Chính phủ,CoQuan,95652,Rule-based & Metadata Audit,0.95,CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh p
Nguyễn Tấn Dũng,NguoiKy,95652,Rule-based & Metadata Audit,0.95,Ủ THỦ TƯỚNG CHÍNH PHỦ (Đã ký) Nguyễn Tấn Dũng
1,DoiTuongApDung,95652,Rule-based & Metadata Audit,0.95,Đối tượng áp dụng 1
Tài chính - Ngân hàng,LinhVuc,95652,Rule-based & Metadata Audit,0.95,201 4; Căn cứ Luật Ngân hàng Nhà nước Việt Nam ngày 16 tháng 6 năm 2010; Căn cứ Luật Các
Bộ Tài chính,CoQuan,f69936f0-6937-11f1-a48d-29bc6b0fd706,Rule-based & Metadata Audit,0.95,áng 12 năm 2020 của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực chứng kh
Nguyễn Đức Chi,NguoiKy,f69936f0-6937-11f1-a48d-29bc6b0fd706,Rule-based & Metadata Audit,0.95,5b). KT. BỘ TRƯỞNG THỨ TRƯỞNG Nguyễn Đức Chi
"tổ chức, trừ trường hợp quy định tại các khoản 3, 4 và 5 Điều 15, Khoản 2 Điều 30 Nghị định này quy",DoiTuongApDung,f69936f0-6937-11f1-a48d-29bc6b0fd706,Rule-based & Metadata Audit,0.95,"áp dụng đối với tổ chức, trừ trường hợp quy định tại các khoản 3, 4 và 5 Điều 15, Khoản 2 Điều 30 Nghị định này quy định mức phạt tiền áp dụng đối với"
nan,LinhVuc,f69936f0-6937-11f1-a48d-29bc6b0fd706,Rule-based & Metadata Audit,0.95,ạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán Nghị định số 156/2020
Bộ Tài chính,CoQuan,30402,Rule-based & Metadata Audit,0.95,BỘ TÀI CHÍNH CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự d
Trần Xuân Hà,NguoiKy,30402,Rule-based & Metadata Audit,0.95,y./. KT. BỘ TRƯỞNG THỨ TRƯỞNG Trần Xuân Hà
1,DoiTuongApDung,30402,Rule-based & Metadata Audit,0.95,Đối tượng áp dụng 1
Quản lý dịch vụ tài chính và các quỹ tài chính,LinhVuc,30402,Rule-based & Metadata Audit,0.95,còn hoạt động trong lĩnh vực kiểm toán độc lập thì phải có Bản giải trình kèm theo các t
Ngân hàng Nhà nước Việt Nam,CoQuan,173460,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lậ
Đoàn Thái Sơn,NguoiKy,173460,Rule-based & Metadata Audit,0.95,ỐNG ĐỐC PHÓ THỐNG ĐỐC (Đã ký) Đoàn Thái Sơn
1,DoiTuongApDung,173460,Rule-based & Metadata Audit,0.95,Đối tượng áp dụng 1
"Thanh tra, giám sát ngân hàng",LinhVuc,173460,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lậ
Ngân hàng Nhà nước Việt Nam,CoQuan,27257,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM ------- CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NA
Trần Minh Tuấn,NguoiKy,27257,Rule-based & Metadata Audit,0.95,. KT. THỐNG ĐỐC PHÓ THỐNG ĐỐC Trần Minh Tuấn
1,DoiTuongApDung,27257,Rule-based & Metadata Audit,0.95,Đối tượng áp dụng 1
Tài chính - Ngân hàng,LinhVuc,27257,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM ------- CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NA
Bộ Tài chính,CoQuan,143217,Rule-based & Metadata Audit,0.95,BỘ TÀI CHÍNH Số: 66/2020/TT-BTC BỘ TÀI CHÍNH Số: 66/2020/TT-BT
nan,NguoiKy,143217,Rule-based & Metadata Audit,0.95,Tên người ký nan trong văn bản Thông tư số 66/2020/TT-BTC Ban hành Quy chế mẫu về kiểm toán nội bộ áp dụng cho doanh nghiệp.
1,DoiTuongApDung,143217,Rule-based & Metadata Audit,0.95,Đối tượng áp dụng 1
Quản lý Nhà nước & Pháp luật,LinhVuc,143217,Rule-based & Metadata Audit,0.95,Văn bản thuộc lĩnh vực Quản lý Nhà nước & Pháp luật.
Ngân hàng Nhà nước Việt Nam,CoQuan,168859,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lậ
Đào Minh Tú,NguoiKy,168859,Rule-based & Metadata Audit,0.95,. kt. thống đốc PHÓ THỐNG ĐỐC Đào Minh Tú
1,DoiTuongApDung,168859,Rule-based & Metadata Audit,0.95,Đối tượng áp dụng 1
"Thanh tra, giám sát ngân hàng",LinhVuc,168859,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lậ
Bộ Tài chính,CoQuan,150974,Rule-based & Metadata Audit,0.95,BỘ TÀI CHÍNH CỘNG HOÀ XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự d
Tạ Anh Tuấn,NguoiKy,150974,Rule-based & Metadata Audit,0.95,BỘ TRƯỞNG THỨ TRƯỞNG (Đã ký) Tạ Anh Tuấn Phụ lục số I CHUẨN MỰC KIỂM T
1,DoiTuongApDung,150974,Rule-based & Metadata Audit,0.95,Đối tượng áp dụng 1
"Kế toán, kiểm toán",LinhVuc,150974,Rule-based & Metadata Audit,0.95,m bảo liên quan đến lĩnh vực mà người phụ trách kiểm toán nội bộ kiêm nhiệm. 1120 - Tình
Ngân hàng Nhà nước Việt Nam,CoQuan,164719,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lậ
Đoàn Thái Sơn,NguoiKy,164719,Rule-based & Metadata Audit,0.95,ỐNG ĐỐC PHÓ THỐNG ĐỐC (Đã ký) Đoàn Thái Sơn
"các doanh nghiệp không cung cấp Báo cáo tài chính cho ngân hàng, chi nhánh ngân hàng nước ngoài để t",DoiTuongApDung,164719,Rule-based & Metadata Audit,0.95,"áp dụng đối với các doanh nghiệp không cung cấp Báo cáo tài chính cho ngân hàng, chi nhánh ngân hàng nước ngoài để tính các chỉ tiêu doanh thu, tỷ lệ"
"Thanh tra, giám sát ngân hàng",LinhVuc,164719,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lậ
Ngân hàng Nhà nước Việt Nam,CoQuan,173695,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lậ
Đoàn Thái Sơn,NguoiKy,173695,Rule-based & Metadata Audit,0.95,ỐNG ĐỐC PHÓ THỐNG ĐỐC (Đã ký) Đoàn Thái Sơn
Thông tư này áp dụng đối với: 1,DoiTuongApDung,173695,Rule-based & Metadata Audit,0.95,Đối tượng áp dụng Thông tư này áp dụng đối với: 1
"Thanh tra, giám sát ngân hàng",LinhVuc,173695,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lậ
Ngân hàng Nhà nước Việt Nam,CoQuan,186482,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM ------- CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NA
Đoàn Thái Sơn,NguoiKy,186482,Rule-based & Metadata Audit,0.95,ỐNG ĐỐC PHÓ THỐNG ĐỐC (Đã ký) Đoàn Thái Sơn
tổ chức tín dụng phi ngân hàng nộp hồ sơ đề nghị vào năm thứ hai tính từ ngày khai trương hoạt động,DoiTuongApDung,186482,Rule-based & Metadata Audit,0.95,áp dụng đối với tổ chức tín dụng phi ngân hàng nộp hồ sơ đề nghị vào năm thứ hai tính từ ngày khai trương hoạt động
Cục An toàn hệ thống các tổ chức tín dụng,LinhVuc,186482,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM ------- CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NA
Bộ Tài chính,CoQuan,112924,Rule-based & Metadata Audit,0.95,BỘ TÀI CHÍNH CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự d
Trần Xuân Hà,NguoiKy,112924,Rule-based & Metadata Audit,0.95,BỘ TRƯỞNG THỨ TRƯỞNG (Đã ký) Trần Xuân Hà
"Thông tư này áp dụng đối với tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư",DoiTuongApDung,112924,Rule-based & Metadata Audit,0.95,"Đối tượng áp dụng Thông tư này áp dụng đối với tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán, doanh nghiệp kinh d"
Tài chính - Ngân hàng,LinhVuc,112924,Rule-based & Metadata Audit,0.95,H NGHIỆP KINH DOANH BẢO HIỂM Căn cứ Luật Đầu tư ngày 26 tháng 11 năm 2014; Căn cứ Luật C
Ngân hàng Nhà nước Việt Nam,CoQuan,174218,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lậ
Đoàn Thái Sơn,NguoiKy,174218,Rule-based & Metadata Audit,0.95,ỐNG ĐỐC PHÓ THỐNG ĐỐC (Đã ký) Đoàn Thái Sơn
1,DoiTuongApDung,174218,Rule-based & Metadata Audit,0.95,Đối tượng áp dụng 1
"Thanh tra, giám sát ngân hàng",LinhVuc,174218,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lậ
Ngân hàng Nhà nước Việt Nam,CoQuan,186888,Rule-based & Metadata Audit,0.95,Document Content NGÂN HÀNG NHÀ NƯỚC VIỆT NAM _________ Số: 62/2025/TT-NHNN CỘNG HÒA XÃ
Đoàn Thái Sơn,NguoiKy,186888,Rule-based & Metadata Audit,0.95,ỐNG ĐỐC PHÓ THỐNG ĐỐC (Đã ký) Đoàn Thái Sơn
1,DoiTuongApDung,186888,Rule-based & Metadata Audit,0.95,Đối tượng áp dụng 1
Cục An toàn hệ thống các tổ chức tín dụng,LinhVuc,186888,Rule-based & Metadata Audit,0.95,Document Content NGÂN HÀNG NHÀ NƯỚC VIỆT NAM _________ Số: 62/2025/TT-NHNN CỘNG HÒA XÃ
Ngân hàng Nhà nước Việt Nam,CoQuan,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,Rule-based & Metadata Audit,0.95,"ấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài, văn phòng đại d"
Đoàn Thái Sơn,NguoiKy,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,Rule-based & Metadata Audit,0.95,6 KT. THỐNG ĐỐC PHÓ THỐNG ĐỐC Đoàn Thái Sơn
Thông tư này áp dụng đối với: 1,DoiTuongApDung,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,Rule-based & Metadata Audit,0.95,Đối tượng áp dụng Thông tư này áp dụng đối với: 1
nan,LinhVuc,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,Rule-based & Metadata Audit,0.95,"ấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài, văn phòng đại d"
Ngân hàng Nhà nước Việt Nam,CoQuan,185630,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lậ
Đoàn Thái Sơn,NguoiKy,185630,Rule-based & Metadata Audit,0.95,ỐNG ĐỐC PHÓ THỐNG ĐỐC (Đã ký) Đoàn Thái Sơn
"Các cơ quan, tổ chức, doanh nghiệp và cá nhân có liên quan",DoiTuongApDung,185630,Rule-based & Metadata Audit,0.95,"Văn bản Thông tư số 63/2025/TT-NHNN Sửa đổi, bổ sung một số điều của một số Thông tư về quỹ tín dụng nhân dân áp dụng cho các cơ quan, tổ chức và cá nhân có liên quan."
"Lao động, tiền lương, tiền công",LinhVuc,185630,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lậ
Ngân hàng Nhà nước Việt Nam,CoQuan,117310,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lậ
Nguyễn Đồng Tiến,NguoiKy,117310,Rule-based & Metadata Audit,0.95,ỐNG ĐỐC PHÓ THỐNG ĐỐC (Đã ký) Nguyễn Đồng Tiến
1,DoiTuongApDung,117310,Rule-based & Metadata Audit,0.95,đối tượng áp dụng 1
"Thanh tra, giám sát ngân hàng",LinhVuc,117310,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lậ
Quốc hội,CoQuan,166269,Rule-based & Metadata Audit,0.95,QUỐC HỘI CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh p
Vương Đình Huệ,NguoiKy,166269,Rule-based & Metadata Audit,0.95,23. CHỦ TỊCH QUỐC HỘI (Đã ký) Vương Đình Huệ CHỦ TỊCH QUỐC HỘI (Đã ký) Vươ
1,DoiTuongApDung,166269,Rule-based & Metadata Audit,0.95,Đối tượng áp dụng 1
Tài chính - Ngân hàng,LinhVuc,166269,Rule-based & Metadata Audit,0.95,"óa, xã hội, bảo đảm an ninh chính trị, trật tự, an toàn xã hội, bảo vệ môi trường tại c"
Ngân hàng Nhà nước Việt Nam,CoQuan,177271,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lậ
Đoàn Thái Sơn,NguoiKy,177271,Rule-based & Metadata Audit,0.95,ống đốc PHÓ THỐNG ĐỐC (Đã ký) Đoàn Thái Sơn
1,DoiTuongApDung,177271,Rule-based & Metadata Audit,0.95,Đối tượng áp dụng 1
Cục An toàn hệ thống các tổ chức tín dụng,LinhVuc,177271,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lậ
Ngân hàng Nhà nước Việt Nam,CoQuan,44209,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM ------- CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NA
Đào Minh Tú,NguoiKy,44209,Rule-based & Metadata Audit,0.95,. KT. THỐNG ĐỐC PHÓ THỐNG ĐỐC Đào Minh Tú
1,DoiTuongApDung,44209,Rule-based & Metadata Audit,0.95,Đối tượng áp dụng 1
Phát hành và kho quỹ,LinhVuc,44209,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM ------- CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NA
Quốc hội,CoQuan,25692,Rule-based & Metadata Audit,0.95,LUẬT Ngân hàng Nhà nước Việt Nam ________________ Căn cứ Hiến pháp nước Cộ
Nguyễn Phú Trọng,NguoiKy,25692,Rule-based & Metadata Audit,0.95,Tên người ký Nguyễn Phú Trọng trong văn bản Ngân hàng Nhà nước Việt Nam.
"Các cơ quan, tổ chức, doanh nghiệp và cá nhân có liên quan",DoiTuongApDung,25692,Rule-based & Metadata Audit,0.95,"Văn bản Ngân hàng Nhà nước Việt Nam áp dụng cho các cơ quan, tổ chức và cá nhân có liên quan."
nan,LinhVuc,25692,Rule-based & Metadata Audit,0.95,LUẬT Ngân hàng Nhà nước Việt Nam ________________ Căn cứ Hiến pháp nước Cộ
