id,title,so_hieu,co_quan_ban_hanh,nguoi_ky,doi_tuong_ap_dung,linh_vuc
173460,"Thông tư số 57/2024/TT-NHNN Quy định hồ sơ, thủ tục cấp Giấy phép lần đầu của tổ chức tín dụng phi ngân hàng",57/2024/TT-NHNN,Ngân hàng Nhà nước Việt Nam,Đoàn Thái Sơn,1,"Thanh tra, giám sát ngân hàng"
27257,"Thông tư số 44/2011/TT-NHNN Quy định về hệ thống kiểm soát nội bộ và kiểm toán nội bộ của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài",44/2011/TT-NHNN,Ngân hàng Nhà nước Việt Nam,Trần Minh Tuấn,1,Tài chính - Ngân hàng
143217,Thông tư số 66/2020/TT-BTC Ban hành Quy chế mẫu về kiểm toán nội bộ áp dụng cho doanh nghiệp,66/2020/TT-BTC,Bộ Tài chính,nan,1,Quản lý Nhà nước & Pháp luật
168859,Thông tư số 29/2024/TT-NHNN Quy định về quỹ tín dụng nhân dân,29/2024/TT-NHNN,Ngân hàng Nhà nước Việt Nam,Đào Minh Tú,1,"Thanh tra, giám sát ngân hàng"
150974,Thông tư số 08/2021/TT-BTC Ban hành chuẩn mực kiểm toán nội bộ Việt Nam và các nguyên tắc đạo đức nghề nghiệp kiểm toán nội bộ,08/2021/TT-BTC,Bộ Tài chính,Tạ Anh Tuấn,1,"Kế toán, kiểm toán"
164719,"Thông tư số 22/2023/TT-NHNN Sửa đổi, bổ sung một số điều của Thông tư số 41/2016/TT-NHNN ngày 30 tháng 12 năm 2016 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định tỷ lệ an toàn vốn đối với ngân hàng, chi nhánh ngân hàng nước ngoài",22/2023/TT-NHNN,Ngân hàng Nhà nước Việt Nam,Đoàn Thái Sơn,"các doanh nghiệp không cung cấp Báo cáo tài chính cho ngân hàng, chi nhánh ngân hàng nước ngoài để t","Thanh tra, giám sát ngân hàng"
173695,"Thông tư số 56/2024/TT-NHNN Quy định hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài, văn phòng đại diện nước ngoài",56/2024/TT-NHNN,Ngân hàng Nhà nước Việt Nam,Đoàn Thái Sơn,Thông tư này áp dụng đối với: 1,"Thanh tra, giám sát ngân hàng"
186482,"Thông tư số 69/2025/TT-NHNN ửa đổi, bổ sung một số điều của một số Thông tư của Thống đốc Ngân hàng Nhà nước Việt Nam trong lĩnh vực quản lý, giám sát ngân hàng liên quan đến cắt giảm điều kiện kinh doanh, đơn giản hóa thủ tục hành chính",69/2025/TT-NHNN,Ngân hàng Nhà nước Việt Nam,Đoàn Thái Sơn,tổ chức tín dụng phi ngân hàng nộp hồ sơ đề nghị vào năm thứ hai tính từ ngày khai trương hoạt động,Cục An toàn hệ thống các tổ chức tín dụng
112924,"Thông tư số 105/2016/TT-BTC Hướng dẫn hoạt động đầu tư gián tiếp ra nước ngoài của tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán và doanh nghỉệp kinh doanh bảo hỉểm",105/2016/TT-BTC,Bộ Tài chính,Trần Xuân Hà,"Thông tư này áp dụng đối với tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư ",Tài chính - Ngân hàng
174218,"Thông tư số 62/2024/TT-NHNN Quy định điều kiện, hồ sơ, thủ tục chấp thuận việc tổ chức lại ngân hàng thương mại, tổ chức tín dụng phi ngân hàng",62/2024/TT-NHNN,Ngân hàng Nhà nước Việt Nam,Đoàn Thái Sơn,1,"Thanh tra, giám sát ngân hàng"
186888,"Thông tư số 62/2025/TT-NHNN Quy định về hệ thống kiểm soát nội bộ của tổ chức tín dụng là hợp tác xã, tổ chức tài chính vi mô",62/2025/TT-NHNN,Ngân hàng Nhà nước Việt Nam,Đoàn Thái Sơn,1,Cục An toàn hệ thống các tổ chức tín dụng
6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,"Quy định hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài, văn phòng đại diện nước ngoài",52/VBHN-NHNN,Ngân hàng Nhà nước Việt Nam,Đoàn Thái Sơn,Thông tư này áp dụng đối với: 1,nan
185630,"Thông tư số 63/2025/TT-NHNN Sửa đổi, bổ sung một số điều của một số Thông tư về quỹ tín dụng nhân dân",63/2025/TT-NHNN,Ngân hàng Nhà nước Việt Nam,Đoàn Thái Sơn,"Các cơ quan, tổ chức, doanh nghiệp và cá nhân có liên quan","Lao động, tiền lương, tiền công"
117310,"Thông tư số 41/2016/TT-NHNN Quy định tỷ lệ an toàn vốn đối với ngân hàng, chi nhánh ngân hàng nước ngoài",41/2016/TT-NHNN,Ngân hàng Nhà nước Việt Nam,Nguyễn Đồng Tiến,1,"Thanh tra, giám sát ngân hàng"
166269,Luật Hợp tác xã số 17/2023/QH15,17/2023/QH15,Quốc hội,Vương Đình Huệ,1,Tài chính - Ngân hàng
177271,"Thông tư số 01/2025/TT-NHNN Quy định về cấp Giấy phép lần đầu, cấp đổi Giấy phép của quỹ tín dụng nhân dân",01/2025/TT-NHNN,Ngân hàng Nhà nước Việt Nam,Đoàn Thái Sơn,1,Cục An toàn hệ thống các tổ chức tín dụng
44209,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",01/2014/TT-NHNN,Ngân hàng Nhà nước Việt Nam,Đào Minh Tú,1,Phát hành và kho quỹ
25692,Ngân hàng Nhà nước Việt Nam,46/2010/QH12,Quốc hội,Nguyễn Phú Trọng,"Các cơ quan, tổ chức, doanh nghiệp và cá nhân có liên quan",nan
